Month of Order Date	Category	Country/Region	State	Sales	City	Customer ID	Customer Name	Number of Records	Order Date	Order ID	Postal Code	Product ID	Product Name	Profit	Quantity	Quantity (bin)	Region	Row ID	Sales Agent ID	Ship Date	Ship Mode	Sub-Category
June 2016	Furniture	United States	California	$48.86	Los Angeles	BH-11710	Brosina Hoffman	1	6/9/2016	CA-115812-2016_06_09	90032	FUR-FU-10001487	Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood	$15	7	6	West	6	4	6/14/2016	Standard Class	Furnishings
June 2016	Office Supplies	United States	California	$7.28	Los Angeles	BH-11710	Brosina Hoffman	1	6/9/2016	CA-115812-2016_06_09	90032	OFF-AR-10002833	Newell 322	$2	4	4	West	7	4	6/14/2016	Standard Class	Art
June 2016	Technology	United States	California	$907.15	Los Angeles	BH-11710	Brosina Hoffman	1	6/9/2016	CA-115812-2016_06_09	90032	TEC-PH-10002275	Mitel 5320 IP Phone VoIP phone	$272	6	6	West	8	4	6/14/2016	Standard Class	Phones
June 2016	Office Supplies	United States	California	$18.50	Los Angeles	BH-11710	Brosina Hoffman	1	6/9/2016	CA-115812-2016_06_09	90032	OFF-BI-10003910	DXL Angle-View Binders with Locking Rings by Samsill	$6	3	2	West	9	4	6/14/2016	Standard Class	Binders
June 2016	Office Supplies	United States	California	$114.90	Los Angeles	BH-11710	Brosina Hoffman	1	6/9/2016	CA-115812-2016_06_09	90032	OFF-AP-10002892	Belkin F5C206VTEL 6 Outlet Surge	$34	5	4	West	10	4	6/14/2016	Standard Class	Appliances
June 2016	Furniture	United States	California	$1,706.18	Los Angeles	BH-11710	Brosina Hoffman	1	6/9/2016	CA-115812-2016_06_09	90032	FUR-TA-10001539	Chromcraft Rectangular Conference Tables	$512	9	8	West	11	4	6/14/2016	Standard Class	Tables
June 2016	Technology	United States	California	$911.42	Los Angeles	BH-11710	Brosina Hoffman	1	6/9/2016	CA-115812-2016_06_09	90032	TEC-PH-10002033	Konftel 250 ConferenceÊphoneÊ- Charcoal black	$273	4	4	West	12	4	6/14/2016	Standard Class	Phones
November 2016	Office Supplies	United States	Wisconsin	$665.88	Madison	PK-19075	Pete Kriz	1	11/11/2016	CA-105893-2016_11_11	53711	OFF-ST-10004186	"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"	$200	6	6	Central	17	48	11/18/2016	Standard Class	Storage
May 2016	Office Supplies	United States	Utah	$55.50	West Jordan	AG-10270	Alejandro Grove	1	5/13/2016	CA-167164-2016_05_13	84084	OFF-ST-10000107	Fellowes Super Stor/Drawer	$17	2	2	West	18	43	5/15/2016	Second Class	Storage
August 2016	Office Supplies	United States	California	$8.56	San Francisco	ZD-21925	Zuschuss Donatelli	1	8/27/2016	CA-143336-2016_08_27	94109	OFF-AR-10003056	Newell 341	$3	2	2	West	19	4	9/1/2016	Second Class	Art
August 2016	Technology	United States	California	$213.48	San Francisco	ZD-21925	Zuschuss Donatelli	1	8/27/2016	CA-143336-2016_08_27	94109	TEC-PH-10001949	Cisco SPA 501G IP Phone	$64	3	2	West	20	4	9/1/2016	Second Class	Phones
August 2016	Office Supplies	United States	California	$22.72	San Francisco	ZD-21925	Zuschuss Donatelli	1	8/27/2016	CA-143336-2016_08_27	94109	OFF-BI-10002215	"Wilson Jones Hanging View Binder, White, 1"""	$7	4	4	West	21	4	9/1/2016	Second Class	Binders
October 2016	Office Supplies	United States	Michigan	$211.96	Westland	PO-18865	Patrick O'Donnell	1	10/20/2016	CA-146703-2016_10_20	48185	OFF-ST-10001713	Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black	$64	4	4	Central	47	21	10/25/2016	Second Class	Storage
December 2016	Office Supplies	United States	Arizona	$1,113.02	Gilbert	BS-11590	Brendan Sweed	1	12/5/2016	CA-106376-2016_12_05	85234	OFF-AR-10002671	Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige	$334	8	8	West	68	2	12/10/2016	Standard Class	Art
December 2016	Technology	United States	Arizona	$167.97	Gilbert	BS-11590	Brendan Sweed	1	12/5/2016	CA-106376-2016_12_05	85234	TEC-PH-10002726	netTALK DUO VoIP Telephone Service	$50	4	4	West	69	2	12/10/2016	Standard Class	Phones
November 2016	Furniture	United States	Texas	$19.30	Houston	JE-15745	Joel Eaton	1	11/26/2016	US-147606-2016_11_26	77070	FUR-FU-10003194	Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak	$6	5	4	Central	79	42	12/1/2016	Second Class	Furnishings
October 2016	Office Supplies	United States	California	$14.90	San Francisco	DN-13690	Duane Noonan	1	10/12/2016	CA-139451-2016_10_12	94122	OFF-AR-10002053	Premium Writing Pencils, Soft, #2 by Central Association for the Blind	$4	5	4	West	82	4	10/16/2016	Standard Class	Art
